OBJECTID,CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,altitud,latitud,longitud,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,CORRIENTE,FECHA_SUSPENSION,SUBZONA_HIDROGRAFICA,ENTIDAD
1843,21090020,CUCHARO EL [21090020],Pluviométrica,Convencional,Activa,1969-12-15,620,2.85555556,-75.39919444,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Cno Leon,,Juncal y otros Rios directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1844,21120100,VOLCAN EL [21120100],Pluviométrica,Convencional,Activa,1976-11-15,1105,2.865,-75.56638889,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Cno Leon,,Río Baché,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1845,21090110,SANTA BARBARA [21090110],Pluviométrica,Convencional,Activa,1965-11-15,454,2.86552778,-75.33988889,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Cno Leon,,Juncal y otros Rios directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1846,21120090,TOTUMO EL [21120090],Pluviométrica,Convencional,Activa,1971-10-15,700,2.87033333,-75.49097222,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Guaviare,,Río Baché,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1847,3405500134,RADIO SONDA MARANDUA - AUT [3405500134],Radio Sonda,Automática con Telemetría,Activa,2017-04-04 19:00,140,5.52611111,-68.68833333,Vichada,Puerto Carreño,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Tomo,0,,Caño Lioni o Terecay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1848,26040290,AGUADA LA [26040290],Pluviométrica,Convencional,Activa,1972-06-15,293,2.88052778,-76.4075,Cauca,Caldono,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Guaviare,,Río Ovejas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1849,38017080,PROY.CENTRAL HIDRO [38017080],Limnimétrica,Convencional,Suspendida,2005-02-15,53,5.52594444,-68.74972222,Vichada,Puerto Carreño,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Tomo,Cno Leon,2005-05-31,Caño Lioni o Terecay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1850,26027030,PUENTE CARRETERA [26027030],Limnimétrica,Convencional,Suspendida,1953-07-15,1305,2.86666667,-76.53333333,Cauca,Santander De Quilichao,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Mondomo,1982-12-15,Río Ovejas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1851,32107020,MUCUARE [32107020],Limnimétrica,Convencional,Suspendida,1983-03-15,146,2.86666667,-71.53333333,Guaviare,San José Del Guaviare,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Guaviare,Guaviare,1985-12-15,Medio Guaviare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1852,21090100,CARDO EL [21090100],Pluviométrica,Convencional,Suspendida,1973-10-15,480,2.88333333,-75.38333333,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Guaviare,1980-03-15,Juncal y otros Rios directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1853,32097010,MAPIRIPAN [32097010],Limnimétrica,Convencional,Activa,1983-03-15,158,2.88972222,-72.13011111,Meta,Mapiripán,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Guaviare,Guaviare,,Medio Guaviare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1854,26020250,MONDOMO [26020250],Pluviométrica,Convencional,Activa,1971-03-15,1397,2.90369444,-76.54697222,Cauca,Santander De Quilichao,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Cno Pororio,,Río Ovejas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1855,26020360,MONDOMO [26020360],Pluviométrica,Convencional,Activa,1985-01-15,1397,2.90369444,-76.54697222,Cauca,Santander De Quilichao,Area Operativa 07 - Nariño-Putumayo,Magdalena Cauca,Cauca,Cno Pororio,,Río Ovejas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1856,21127010,PALERMO [21127010],Limnimétrica,Convencional,Activa,1971-10-15,535,2.90408333,-75.44333333,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Tune,,Río Baché,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1857,21125020,PALERMO [21125020],Climática Ordinaria,Convencional,En Mantenimiento,1986-11-14 19:00,550,2.9075,-75.44333333,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,0,,Río Baché,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1858,21090140,CARDO  2 EL [21090140],Pluviométrica,Convencional,Suspendida,1983-06-15,480,2.88333333,-75.38333333,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Guaviare,2002-02-15,Juncal y otros Rios directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1859,53077030,ANGOSTURA [53077030],Limnigráfica,Convencional,Suspendida,1980-02-15,100,2.9,-77.1,Cauca,López,Area Operativa 07 - Nariño-Putumayo,Pacifico,Tapaje - Dagua - Directos,Chuare,1988-05-15,Río San Juan del Micay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1860,21050210,IRLANDA LA [21050210],Pluviométrica,Convencional,Suspendida,1980-06-15,1950,2.9,-76.1,Cauca,Páez (Belalcázar),Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Chuare,1994-06-15,Río Páez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1861,21117120,PALMA LA [21117120],Limnimétrica,Convencional,Suspendida,1983-06-15,880,2.9,-75.13333333,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Quebrada San Bartolo,1996-08-15,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1862,32087030,TEJA ROJA [32087030],Limnimétrica,Convencional,Suspendida,1978-11-15,220,2.9,-72.9,Meta,Puerto Rico (Meta),Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Guaviare,Cno Pororio,1983-05-15,Río Ariari,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1863,21090030,SANTA CECILIA [21090030],Pluviométrica,Convencional,Suspendida,1969-01-15,450,2.91666667,-75.31666667,Huila,Palermo,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Tune,2002-02-15,Juncal y otros Rios directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1864,21250440,ALEGRIAS [21250440],Pluviométrica,Convencional,Suspendida,1969-05-15,410,4.86666667,-74.93333333,Tolima,Ambalema,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,San Eugenio,1972-02-15,Río Lagunilla y Otros Directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1865,21250350,TRIUNFO EL HACIENDA [21250350],Pluviométrica,Convencional,Suspendida,1961-02-15,400,4.86666667,-74.8,Tolima,Ambalema,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,San Eugenio,1972-02-15,Río Lagunilla y Otros Directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1866,35070510,SAN RAFAEL [35070510],Pluviográfica,Convencional,Suspendida,1982-07-15,1730,4.86666667,-73.38333333,Boyacá,Almeida,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,San Eugenio,1985-04-15,Río Guavio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1867,26135110,VERACRUZ [26135110],Climática Ordinaria,Convencional,En Mantenimiento,1977-10-14 19:00,17,4.86763889,-75.62780556,RIsaralda,Santa Rosa De Cabal,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,0,,Río Otún y otros directos al Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1868,23057701,PUENTE LA FONDA [23057701],Limnimétrica,Convencional,Activa,2014-08-28,3469,4.87022222,-75.40236111,Caldas,Villamaria,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Bata,,Río Chinchiná,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1869,35190010,CINTAS LAS [35190010],Pluviográfica,Convencional,Activa,1971-02-15,3400,5.61413889,-72.86766667,Boyacá,Sogamoso,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,Bata,,Lago de Tota,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1870,24030230,IZA [24030230],Pluviométrica,Convencional,Activa,1958-02-15,2470,5.6155,-72.97627778,Boyacá,Iza,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Bata,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1871,24017830,SUTAMARCHAN [24017830],Limnimétrica,Convencional,Activa,1987-02-15,2500,5.61838889,-73.61286111,Boyacá,Sutamarchán,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Sutamarchan,,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1872,11035020,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,1983-03-15,53,5.62616667,-76.74972222,Chocó,Rio Quito (Paimadó),Area Operativa 01 - Antioquia-Chocó,Caribe,Atrato - Darién,La Chorrera,,Río Quito,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1873,24030310,COMBITA [24030310],Pluviométrica,Convencional,Activa,1958-08-15,2820,5.62891667,-73.324,Boyacá,Cómbita,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1874,35077040,SANTA MARIA [35077040],Limnimétrica,Convencional,Suspendida,1955-04-15,850,4.86666667,-73.26666667,Boyacá,Santa María (Boyacá),Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,Bata,1982-08-15,Río Garagoa,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1875,24031030,IZA [24031030],Pluviométrica,Convencional,Suspendida,1928-06-15,2470,5.6155,-72.97627778,Boyacá,Iza,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Bata,1928-09-15,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1876,26167050,BOCACHE [26167050],Limnimétrica,Convencional,Suspendida,1970-09-15,865,5.61666667,-75.56666667,Caldas,Aguadas,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Cauca,1971-03-15,Rio Tapias y otros directos al Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1877,24011010,SIMIJACA [24011010],Pluviográfica,Convencional,Suspendida,1974-06-15,2590,5.61666667,-73.85,Cundinamarca,Simijaca,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Magdalena Cauca,Sogamoso,Cauca,1975-08-15,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1878,24037470,MARLEN [24037470],Limnimétrica,Convencional,Suspendida,1974-03-15,2610,5.61666667,-73.2,Boyacá,Toca,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Tuta,1990-04-15,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1879,24030770,GARROCHO EL [24030770],Pluviométrica,Convencional,Suspendida,1974-03-15,2836,5.62347222,-73.12630556,Boyacá,Toca,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,2014-08-28,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1880,24010160,VILLA DE LEIVA [24010160],Pluviométrica,Convencional,Suspendida,1958-01-15,2200,5.63333333,-73.53333333,Boyacá,Villa De Leiva,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,1972-12-15,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1881,24037590,CHORRERA LA [24037590],Limnimétrica,Convencional,Suspendida,1991-03-14 19:00,2700,5.62302778,-73.16638889,Boyacá,Toca,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,2019-02-22 9:15,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1882,2607500128,RADIO SONDA CALI - AUT [2607500128],Radio Sonda,Automática con Telemetría,Activa,2017-04-04 19:00,977,3.53666667,-76.38722222,Valle del Cauca,Palmira,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,0,,Río Guachal (Bolo - Fraile y Párraga),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1883,23127010,BORBUR  - AUT [23127010],Limnigráfica,Automática con Telemetría,Activa,1975-03-14 19:00,457,5.64938889,-74.05502778,Boyacá,Pauna,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Minero,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1884,24010840,PANELAS [24010840],Pluviométrica,Convencional,Activa,1980-08-15,3195,5.63438111,-73.38647056,Boyacá,Motavita,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1885,35230040,BANCO EL [35230040],Pluviográfica,Convencional,Activa,1995-11-15,320,5.63438889,-72.00263889,Casanare,Pore,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,La Chorrera,,Río Pauto,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1886,24010830,SAN PEDRO IGUAQUE [24010830],Pluviográfica,Convencional,Activa,1980-08-15,2985,5.64,-73.45044444,Boyacá,Chíquiza,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1887,23125090,PAUNA [23125090],Meteorológica Especial,Convencional,Activa,1993-03-15,1225,5.64947222,-73.98102778,Boyacá,Pauna,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Minero,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1888,23120250,BORBUR 2 [23120250],Pluviométrica,Convencional,Activa,1975-02-15,681,5.64963889,-74.06872222,Boyacá,San Pablo De Borbur,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Minero,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1889,24030760,CRUCERO EL VILLITA [24030760],Pluviométrica,Convencional,Suspendida,1969-10-15,3225,5.63333333,-72.91666667,Boyacá,Sogamoso,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Chorrera,2002-02-15,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1890,23120080,BORBUR 1 [23120080],Pluviométrica,Convencional,Suspendida,1959-11-15,830,5.65,-74.06666667,Boyacá,San Pablo De Borbur,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Minero,1975-05-15,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1891,23120140,PAUNA [23120140],Pluviométrica,Convencional,Suspendida,1963-04-15,1225,5.65,-73.98333333,Boyacá,Pauna,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Minero,1993-03-15,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1892,24011050,MUSEO EL [24011050],Pluviométrica,Convencional,Suspendida,1979-07-15,2215,5.65,-73.53333333,Boyacá,Villa De Leiva,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Minero,1980-02-15,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1893,24015230,CARMEN EL [24015230],Climática Ordinaria,Convencional,Suspendida,1969-01-15,2250,5.65,-73.51666667,Boyacá,Villa De Leiva,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Minero,1981-02-15,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1894,24017790,VEGAS LAS [24017790],Limnimétrica,Convencional,Suspendida,1986-05-15,2980,5.65,-73.46666667,Boyacá,Chíquiza,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Quebrada Yerbabuena,1995-07-15,Río Suárez,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1895,35027210,CASETEJA-DELICIAS [35027210],Limnigráfica,Convencional,Suspendida,1980-05-14 19:00,866,4.19527778,-73.76888889,Meta,Acacías,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Negro,2019-02-22 3:51,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1896,53077060,MONO EL [53077060],Limnimétrica,Automática con Telemetría,Activa,1984-09-15,100,2.92005556,-77.22369444,Cauca,López,Area Operativa 07 - Nariño-Putumayo,Pacifico,Tapaje - Dagua - Directos,Chuare,,Río San Juan del Micay,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1897,21117080,GUAYABO [21117080],Limnimétrica,Convencional,Activa,1976-10-15,650,2.92111111,-75.14966667,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Ceibas,,Rio Fortalecillas y otros,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1898,35020310,NAZARETH [35020310],Pluviográfica,Convencional,Activa,1984-07-15,2800,4.17225,-74.146,Bogotá,Bogota  D.C,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Orinoco,Meta,Ceibas,,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1899,26125130,CUMBARCO [26125130],Climática Ordinaria,Convencional,Activa,1973-10-15,1749,4.18505556,-75.83236111,Valle del Cauca,Sevilla,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Ceibas,,Río La Vieja,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1900,35030290,SERVITA [35030290],Pluviográfica,Convencional,Activa,1995-04-15,191,4.18880556,-73.69311111,Meta,Villavicencio,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Ceibas,,Río Guatiquía,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1901,21185080,VALLE DE SAN JUAN [21185080],Climática Ordinaria,Convencional,Activa,1986-11-15,591,4.21645833,-75.10461111,Tolima,Valle De San Juan,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,0,,Río Luisa y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1902,21180210,VALLE DE SAN JUAN [21180210],Pluviométrica,Convencional,Activa,1971-11-15,582,4.19197222,-75.11288889,Tolima,Valle De San Juan,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,0,,Río Luisa y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1903,21195060,PANDI [21195060],Climática Ordinaria,Convencional,Activa,1969-06-15,950,4.19272222,-74.48741667,Cundinamarca,Pandi,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Magdalena Cauca,Alto Magdalena,Sumapaz,,Río Sumapaz,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1904,35020020,SUSUMUCO [35020020],Pluviográfica,Convencional,Activa,1961-05-15,10,4.19616667,-73.77191667,Cundinamarca,Guayabetal,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Negro,,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1905,35057040,PUENTE CARRETERA [35057040],Limnimétrica,Convencional,Activa,1978-10-15,390,4.19834444,-73.57019722,Meta,Restrepo (Meta),Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Rio Salinas,,Río Guatiquía,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1906,32157020,MAPIRRIARE [32157020],Limnimétrica,Convencional,Suspendida,1983-03-15,116,2.91666667,-70.28333333,Guainía,Mapiripana,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Guaviare,Guaviare,1992-11-15,Medio Guaviare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1907,21190080,PLAYA LA [21190080],Pluviométrica,Convencional,Suspendida,1955-06-15,675,4.18333333,-74.5,Cundinamarca,Pandi,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Magdalena Cauca,Alto Magdalena,Ceibas,1971-05-15,Río Sumapaz,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1908,35025070,TAQUES LOS [35025070],Pluviométrica,Convencional,Activa,1986-01-14 19:00,3150,4.19666667,-74.19094444,Bogotá,Bogota  D.C,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Orinoco,Meta,0,,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1909,2319500129,RADIO SONDA BUCARAMANGA - AUT [2319500129],Radio Sonda,Automática con Telemetría,Activa,2018-04-04 19:00,1196,7.12944444,-73.18416667,Santander,Lebrija,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,0,,Río Lebrija y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1910,22075030,RIOMANSO [22075030],Climática Ordinaria,Convencional,Activa,1973-12-15,253,4.20677778,-75.41558333,Tolima,Rovira,Area Operativa 10 - Tolima,Magdalena Cauca,Saldaña,Quebrada Pipiral,,Rïo Cucuana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1911,23125080,OTANCHE [23125080],Climática Ordinaria,Convencional,Activa,1975-03-15,1100,5.66172222,-74.18461111,Boyacá,Otanche,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Medio Magdalena,Quebrada Yerbabuena,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1912,22020030,GAITANIA [22020030],Pluviométrica,Convencional,Activa,1973-12-15,1476,3.092,-75.67402778,Tolima,Planadas,Area Operativa 10 - Tolima,Magdalena Cauca,Saldaña,Quebrada Yerbabuena,,Río Atá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1913,35027200,EL PALMAR [35027200],Limnigráfica,Convencional,Suspendida,1980-05-14 19:00,980,4.20847222,-73.81541667,Cundinamarca,Guayabetal,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Blanco,2019-02-22 3:54,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1914,21135050,JULIA LA [21135050],Climática Ordinaria,Convencional,Activa,1986-12-15,1691,3.09877778,-75.53002778,Huila,Neiva,Area Operativa 04 - Huila-Caquetá,Magdalena Cauca,Alto Magdalena,Quebrada Yerbabuena,,Río Aipe  Río Chenche y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1915,26050270,SILENCIOSO EL [26050270],Pluviométrica,Convencional,Activa,1972-04-15,1156,3.11563889,-76.71941667,Cauca,Buenos Aires,Area Operativa 09 - Cauca-Valle-Caldas,Magdalena Cauca,Cauca,Quebrada Yerbabuena,,Río Timba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1916,21180230,BAMBU EL MOLINO [21180230],Pluviométrica,Convencional,Suspendida,1979-11-15,390,4.2,-75,Tolima,Espinal,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,Rio Salinas,1984-10-15,Río Luisa y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1917,21197100,MELGAR [21197100],Limnigráfica,Convencional,Suspendida,1971-11-15,400,4.2,-74.65,Tolima,Melgar,Area Operativa 10 - Tolima,Magdalena Cauca,Alto Magdalena,Sumapaz,1984-11-15,Río Sumapaz,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1918,35020100,GUAYABETAL [35020100],Pluviométrica,Convencional,Suspendida,1968-07-15,1200,4.2,-73.81666667,Cundinamarca,Guayabetal,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Sumapaz,1971-11-15,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
1919,35027160,PUENTE CARRETERA [35027160],Limnimétrica,Convencional,Suspendida,1978-04-15,870,4.2,-73.71666667,Meta,Villavicencio,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,Quebrada Pipiral,1998-12-15,Río Guayuriba,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
